[2026-04-10 23:12:07] [WARNING] VLC not found in common paths; hoping it is on PATH
[2026-04-10 23:12:07] [INFO   ] VLC player ready (python-vlc / libvlc)
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:49] [DEBUG  ] VLC: buffering…
[2026-04-10 23:12:52] [DEBUG  ] Filtered 2 dead station(s): Janadhwani Kannada, Madhur Tarang Kannada
[2026-04-10 23:12:52] [INFO   ] Alive check: 13/15 reachable
[2026-04-10 23:12:52] [INFO   ] Preloaded 'kannada': 13 alive stations
[2026-04-10 23:12:55] [DEBUG  ] Filtered 3 dead station(s): SRF 4 News, Brigada News FM Pagadian, Brigada News FM Siargao
[2026-04-10 23:12:55] [INFO   ] Alive check: 27/30 reachable
[2026-04-10 23:12:55] [INFO   ] Preloaded 'news': 27 alive stations
[2026-04-10 23:13:01] [DEBUG  ] Filtered 2 dead station(s): Bossa Jazz Brasil, BSJ.FM Best Smooth Jazz
[2026-04-10 23:13:01] [INFO   ] Alive check: 47/49 reachable
[2026-04-10 23:13:01] [INFO   ] Preloaded 'jazz': 47 alive stations
[2026-04-10 23:13:04] [DEBUG  ] Filtered 5 dead station(s): Your Classical - Relax, -- # TOP 100 CHARTS --- DJ MIXES -- Pop, Rock, Dance, House, Techno, Trance, Electro, Hip-Hop, Rap, RnB, Reggaeton, Latin, Jazz, Blues, Soul, Funk, Metal, Indie, Alternative, Chillout, Lounge, Ambient, Classical, Acoustic, Party, Hits, Charts, Oldies, 80s, 90s, EDM, Club, Deep House, Tropical, Mood, Love Songs, Workout, Relax, 0R - MOZART - CLASSICAL || Orchestra, Piano, Strings, Chamber, Symphony, Solo Instrument, Elegant, Melodic, Calm, Relaxing, Timeless, Instrumental, Soft, Meditative, Radio Caprice - Classical Piano, EPIC CLASSICAL - Classical Music For Sleep
[2026-04-10 23:13:04] [INFO   ] Alive check: 39/44 reachable
[2026-04-10 23:13:04] [INFO   ] Preloaded 'classical': 39 alive stations
[2026-04-10 23:13:05] [DEBUG  ] Filtered 4 dead station(s): Power POP, - NEUERSCHEINUNGEN - Radio Charts - DJ Charts - Club Charts - Top 100 - Top 40 Club - Pop, Hip-Hop, Dance, EDM, House, Techno, R&B, Trap, Reggaeton, Afrobeat, Indie-Pop, Tropical House, Future Bass, Electro Swing, Synthwave, Deep House, Progressive House, Vocal House, DJ Sets, Remix, Mashup, Dancefloor, Festival-Hits, Club-Hits, Nightlife, Underground., Radio Popolare Milano, LiSTNR - Chill Pop Hits
